timestamp,price_open,price_high,price_low,price_close,price_volume,volume_obv,volume_obv_sma_20,volume_obv_sma_50,volume_obv_trend,return,volatility,momentum,return_ts_neutral,volatility_ts_neutral,momentum_ts_neutral
2009-02-26,92.0,92.92,88.96,89.19,22495300,59246740436.0,59625335531.5,59577723833.72,Down,-0.021610355419043437,0.028306512431283282,-0.05318471337579622,-0.5702902851859037,-1.0596454301698064,-1.1600547700790034
2009-02-27,87.91,91.3,87.67,89.31,25237800,59953399542.0,59702565768.9,59573612701.76,Up,0.001345442314160783,0.028209353366883363,-0.039677419354838706,-0.05656340359106124,-0.9372231578099968,-0.9264875084607941
2009-03-02,89.31,91.2,87.67,87.94,27533200,59182469172.0,59773823460.35,59532212812.54,Down,-0.015339827566901887,0.027569463570367256,-0.024298235881504482,-0.5407288947949958,-1.314627973903021,-0.6319470072682286
2009-03-03,88.83,90.74,87.88,88.37,25869300,59906810296.0,59853385820.1,59531176979.66,Up,0.004889697521037073,0.027345211172936333,-0.03431318981532072,0.05022824519900078,-1.0794596041012967,-0.6323715060834239
2009-03-04,90.24,92.77,89.45,91.17,26478700,60648214637.0,59940052906.95,59527820896.46,Up,0.031684960959601716,0.028082996444790356,-0.019466551946655253,0.6662084226664938,-0.7029821397311647,-0.5129159252691027
2009-03-05,90.25,91.87,88.45,88.84,25246400,59941314731.0,59950953878.1,59494288399.12,Down,-0.025556652407590197,0.028572590592122474,-0.050347407803313704,-0.5286249222362345,-0.37633483592725003,-0.7327745073383797
2009-03-06,88.34,88.4,82.33,85.3,36112400,58930166520.0,59873835081.25,59457427762.44,Down,-0.03984691580369215,0.02862576822074435,-0.11569562512958742,-0.895411987347685,-0.2603364521223318,-0.9821352318332497
2009-03-09,84.12,87.6,82.57,83.11,24939200,58231868222.0,59727440855.15,59393900515.1,Down,-0.025674091441969527,0.02736405256668279,-0.16656638588046535,-0.5418858275181417,-0.618686426658673,-1.176535411163686
2009-03-10,84.87,89.17,84.36,88.6275,30152100,59076127866.0,59587509035.5,59352685146.06,Up,0.06638791962459378,0.03115915332375042,-0.13542581211589122,1.9948602423307964,0.7846244161696341,-0.8898702597598492
2009-03-11,89.9,94.07,89.58,92.68,30227600,59922501512.0,59532348980.6,59322230747.78,Up,0.045725085329045845,0.03185233669772212,-0.0526423387508943,1.1938190104764803,1.032768600267698,-0.23664816174523012
