Date,stock_return,market_return,excess_return,volatility,market_volatility,regression_neutral,rolling_beta,rolling_alpha,stock_return_zscore,market_return_zscore,residual_neutral,combined_neutral
2017-01-17,0.008064516129032251,-0.010633584404076246,0.018698100533108497,0.005153181342839403,0.007429190577339371,0.00759355649276345,0.12069028623439147,0.001754329981694324,1.2182035690420565,-1.274123521263307,2.4923270903053636,1.2499603233990635
2017-01-18,-8.333333333332416e-05,0.003881176294969535,-0.003964509628302859,0.005169297887276461,0.007327593083341334,-0.0019595534764462494,0.0025400465032072855,0.0018663617748365569,-0.348461875458454,0.6078638875755483,-0.9563257630340023,-0.4791426582552243
2017-01-19,-0.00175014584548705,-0.0028252788104088378,0.0010751329649217878,0.0051320828724049075,0.007264560875177034,-0.0035575934965909307,-0.014440504886972464,0.0017666491986351122,-0.602433889457766,-0.32699629223380877,-0.2754375972239572,-0.13949759536027406
2017-01-20,0.0018367006177992806,0.004473605726215357,-0.0026369051084160766,0.005124278515588159,0.0072607573077364315,0.00042591790302264716,0.02123066699848932,0.0013158050813208203,0.10463098406334928,0.678809499624967,-0.5741785155616177,-0.28687629882929755
2017-01-23,0.0006666666666665932,-0.000593824228028561,0.0012604908946951543,0.005125657056331303,0.007061673349808017,-0.0005838572492068851,0.015645312029302562,0.001259814481211545,-0.12099528494192183,-0.06958186885880248,-0.05141341608311935,-0.025998636666163116
2017-01-24,-0.0009160559626915088,0.009358288770053624,-0.010274344732745133,0.00481539092981575,0.007296316854152563,-0.0022822121769389223,0.014063616243170814,0.0012345448322926044,-0.5162595042490083,1.2040864133587978,-1.7203459176078062,-0.8613140648923726
2017-01-25,0.015920646828373686,0.005739514348785946,0.01018113247958774,0.005788501448472446,0.007379957960150238,0.014723741418189155,-0.055250181607029575,0.0015140146202911062,2.358739984997594,0.6571701902044729,1.7015697947931212,0.8581467681056552
2017-01-26,0.0004922874958976919,0.0071700321919812016,-0.00667774469608351,0.005718781835128009,0.007448459135962185,-0.0014166708755568537,-0.005912588898148136,0.0019513518241922184,-0.25912193844736836,0.8310284412288278,-1.0901503796761962,-0.5457835252758765
2017-01-27,8.20075446941182e-05,-0.006828417841057699,0.006910425385751817,0.005549327993043399,0.00760846773345519,-0.0017797768479308636,-0.04862854452440175,0.0015297283716098882,-0.3801259537140822,-0.9999156517819052,0.619789698067823,0.3090049606099461
2017-01-30,-0.002624026240262478,-0.0026331187829138347,9.092542651356617e-06,0.005628965704871316,0.007535927001506916,-0.004484475556862898,-0.06384034969075254,0.0016923500927219118,-0.834455774010366,-0.4678782344614107,-0.3665775395489553,-0.18553100755290908
