Timestamp,obv
2006-03-01,60260285440.0
2006-03-02,60885559665.0
2006-03-03,60147890528.0
2006-03-06,59235224016.0
2006-03-07,60108102488.0
2006-03-08,59454850635.0
2006-03-09,58655545036.0
2006-03-10,57612401193.0
2006-03-13,58473589654.0
2006-03-14,59115610696.0
2006-03-15,58223613805.0
2006-03-16,57473974656.0
2006-03-17,58286017468.0
2006-03-20,57680575663.0
2006-03-21,56335207918.0
2006-03-22,54989310973.0
2006-03-23,58885577866.0
2006-03-24,58564567345.0
2006-03-27,58379803561.0
2006-03-28,58254815636.5
2006-03-29,52357941143.0
2006-03-30,53748593333.0
2006-03-31,52933235318.0
2006-04-03,52117443303.0
2006-04-04,51185518372.0
2006-04-05,53418929405.0
2006-04-06,56082700868.0
2006-04-07,54537460523.0
2006-04-10,53633944420.0
2006-04-11,52694627481.0
2006-04-12,51954732342.0
2006-04-13,51220053608.0
2006-04-17,50498114887.0
2006-04-18,51292960081.0
2006-04-19,50206925795.0
2006-04-20,51873910261.0
2006-04-21,51084922673.0
2006-04-24,50377893966.0
2006-04-25,50906957295.0
2006-04-26,51617844405.0
2006-04-27,52463792450.0
2006-04-28,53223830810.0
2006-05-01,52473449660.0
2006-05-02,53245113631.0
2006-05-03,52558121745.0
2006-05-04,51697700485.0
2006-05-05,52261612648.0
2006-05-08,52261612648.0
2006-05-09,51729945317.0
2006-05-10,51270056058.0
2006-05-11,50457366446.0
2006-05-12,49815591805.0
2006-05-15,50344769934.0
2006-05-16,49408028998.0
2006-05-17,50162223752.0
2006-05-18,49503780694.0
2006-05-19,50489647679.0
2006-05-22,49770671361.0
2006-05-23,49076256667.0
2006-05-24,49992288783.0
2006-05-25,50455661246.0
2006-05-26,50022710814.0
2006-05-30,49459308251.0
2006-05-31,48178329371.0
2006-06-01,49120838313.0
2006-06-02,48435050428.0
2006-06-05,47829264223.0
2006-06-06,49793131583.0
2006-06-07,49637226027.5
2006-06-08,47750203344.0
2006-06-09,46974364569.0
2006-06-12,46256578252.0
2006-06-13,47337222532.0
2006-06-14,46459085654.0
2006-06-15,47649470444.0
2006-06-16,46811368006.0
2006-06-19,46106792102.0
2006-06-20,46779767174.0
2006-06-21,47643064037.0
2006-06-22,48608698202.0
2006-06-23,47948493942.0
2006-06-26,48415030408.0
2006-06-27,47864418258.0
2006-06-28,47013713008.0
2006-06-29,47887112281.0
2006-06-30,47147415942.0
2006-07-03,47342186936.0
2006-07-05,46823945618.0
2006-07-06,46190736185.0
2006-07-07,45391374586.0
2006-07-10,44862028457.0
2006-07-11,45687052082.0
2006-07-12,44759721955.0
2006-07-13,43509814706.0
2006-07-14,42516776913.0
2006-07-17,43541320337.0
2006-07-18,44541769737.0
2006-07-19,45932514327.0
2006-07-20,47904662699.0
2006-07-21,48796555990.0
2006-07-24,49519413112.0
2006-07-25,50108483301.0
2006-07-26,51006911799.0
2006-07-27,50271866264.0
2006-07-28,50963374555.0
2006-07-31,51856217047.0
2006-08-01,51144450736.0
2006-08-02,51695219686.0
2006-08-03,52536264927.0
2006-08-04,50683396675.0
2006-08-07,49437882630.0
2006-08-08,48440017633.0
2006-08-09,47484177878.0
2006-08-10,48181938575.0
2006-08-11,47404408598.0
2006-08-14,48122029715.0
2006-08-15,48983383376.0
2006-08-16,49764668157.0
2006-08-17,49183519176.0
2006-08-18,49719873712.0
2006-08-21,49193646786.0
2006-08-22,49770615362.0
2006-08-23,49234356026.0
2006-08-24,49889548281.0
2006-08-25,50433507624.0
2006-08-28,49695345686.0
2006-08-29,48748012339.0
2006-08-30,49428155419.0
2006-08-31,50002853193.0
2006-09-01,50411348401.0
2006-09-05,51423807013.0
2006-09-06,50449702839.0
2006-09-07,49707609699.0
2006-09-08,50821739211.0
2006-09-11,49872613862.0
2006-09-12,51557302746.0
2006-09-13,49881081071.5
2006-09-14,51901711491.0
2006-09-15,50919856910.0
2006-09-18,50214578205.0
2006-09-19,49504528295.0
2006-09-20,50327320317.0
2006-09-21,49533194723.0
2006-09-22,48868082058.0
2006-09-25,49727075316.0
2006-09-26,50830024418.0
2006-09-27,50019650408.0
2006-09-28,50743260731.0
2006-09-29,50337447926.0
2006-10-02,49624808014.0
2006-10-03,48834098424.0
2006-10-04,49663182053.0
2006-10-05,48979298170.0
2006-10-06,48512338904.0
2006-10-09,48950561742.0
2006-10-10,48418972811.0
2006-10-11,47847117040.0
2006-10-12,48439972832.0
2006-10-13,47755775348.0
2006-10-16,48264468656.0
2006-10-17,47783542976.0
2006-10-18,48917451709.0
2006-10-19,50430430421.0
2006-10-20,51069844660.0
2006-10-23,51902352692.0
2006-10-24,51439139829.0
2006-10-25,51924355114.0
2006-10-26,52357112346.0
2006-10-27,51762145352.0
2006-10-30,52262063451.0
2006-10-31,52763538352.0
2006-11-01,52152345341.0
2006-11-02,51686861676.0
2006-11-03,51254972445.0
2006-11-06,51689549679.0
2006-11-07,52215482604.0
2006-11-08,52906400094.0
2006-11-09,53829454617.0
2006-11-10,53455589844.0
2006-11-13,53906264294.0
2006-11-14,54495219682.0
2006-11-15,53839895827.0
2006-11-16,54533837320.0
2006-11-17,55000261786.0
2006-11-20,55571056356.0
2006-11-21,56193723778.0
2006-11-22,56865665649.0
2006-11-24,57384343767.0
2006-11-27,56309506693.0
2006-11-28,57345681329.0
2006-11-29,56188596972.0
2006-11-30,55318109702.0
2006-12-01,54523029307.0
2006-12-04,53813491798.0
2006-12-05,54476330860.0
2006-12-06,53838145822.0
2006-12-07,52833317218.0
2006-12-08,53617595202.0
2006-12-11,54117376101.0
2006-12-12,53090755075.0
2006-12-13,53947807932.0
2006-12-14,53115476300.0
