,SMA_20
2021-10-08,1.4092665005792981
2021-10-11,1.4041579973863805
2021-10-12,1.399146813728133
2021-10-13,1.3929925117261421
2021-10-14,1.389180057574307
2021-10-15,1.3882547496176822
2021-10-18,1.3909905098700732
2021-10-19,1.3950315876906574
2021-10-20,1.3976159620002284
2021-10-21,1.3996256876288904
2021-10-22,1.4009665345510107
2021-10-25,1.4034458655533188
2021-10-26,1.4090625929828464
2021-10-27,1.413625797830708
2021-10-28,1.422016904375591
2021-10-29,1.4274359032267414
2021-11-01,1.4348800752517397
2021-11-02,1.4416337420069363
2021-11-03,1.4488276637999262
2021-11-04,1.454642119807831
2021-11-05,1.4611609838762045
2021-11-08,1.4671098335272252
2021-11-09,1.4743253818834752
2021-11-10,1.479803081406331
2021-11-11,1.483081050494741
2021-11-12,1.4871499338966594
2021-11-15,1.489930492030089
2021-11-16,1.4917950107340054
2021-11-17,1.4951702993570852
2021-11-18,1.5017046109706442
2021-11-19,1.5108711842838503
2021-11-22,1.5204332147538109
2021-11-23,1.5297758900821343
2021-11-24,1.5398770398790762
2021-11-26,1.543263141783786
2021-11-29,1.5513530211975477
2021-11-30,1.5639226887151676
2021-12-01,1.5752843581992644
2021-12-02,1.5847660614342591
2021-12-03,1.5931911525785505
2021-12-06,1.603849958756697
2021-12-07,1.6195940968099827
2021-12-08,1.638016839198472
2021-12-09,1.6582407653556162
2021-12-10,1.6822122659748158
2021-12-13,1.7017595896528255
2021-12-14,1.7202302194313908
2021-12-15,1.7417131205211709
2021-12-16,1.7559619362004788
2021-12-17,1.7660352804160864
2021-12-20,1.7730191155945503
2021-12-21,1.7821053616727907
2021-12-22,1.7929078300211643
2021-12-23,1.803793715113541
2021-12-27,1.8216479878391958
2021-12-28,1.836108434887548
2021-12-29,1.8467965914015476
2021-12-30,1.8569919712241225
2021-12-31,1.8674762201416704
2022-01-03,1.8827862821752372
2022-01-04,1.8937030623579851
2022-01-05,1.8965423211631207
2022-01-06,1.8942035628220024
2022-01-07,1.8923900210171989
2022-01-10,1.8868783368949342
2022-01-11,1.886377836430917
2022-01-12,1.8872892415968743
2022-01-13,1.8818918693089839
2022-01-14,1.8825066816073757
2022-01-18,1.881488688379637
2022-01-19,1.8788162630625074
2022-01-20,1.872379270983618
2022-01-21,1.8623368218583816
2022-01-24,1.851208410306589
2022-01-25,1.8356079344235308
2022-01-26,1.8207288589006456
2022-01-27,1.805424975885153
2022-01-28,1.7994514101618355
2022-01-31,1.7973335517168731
2022-02-01,1.791715279532827
2022-02-02,1.7887848802110957
2022-02-03,1.7872524837286725
2022-02-04,1.7877143653297254
2022-02-07,1.7874950101880884
2022-02-08,1.7896669350412002
2022-02-09,1.7907498079587196
2022-02-10,1.7883276328735986
2022-02-11,1.785795780217659
2022-02-14,1.7827788746428879
2022-02-15,1.7852164972731945
2022-02-16,1.790181338295885
2022-02-17,1.7936616702262274
2022-02-18,1.797535914558806
2022-02-22,1.7997449135203638
2022-02-23,1.800120288868377
2022-02-24,1.8025934408526105
2022-02-25,1.8070268863209122
2022-02-28,1.803231424468781
2022-03-01,1.794599336219001
2022-03-02,1.7886489418134612
2022-03-03,1.7815152654466964
2022-03-04,1.7742873590542978
2022-03-07,1.764337595200176
2022-03-08,1.753528947833728
2022-03-09,1.744499857672675
2022-03-10,1.7310002479348743
2022-03-11,1.7177817835194542
2022-03-14,1.704085989957795
2022-03-15,1.6936048305492843
2022-03-16,1.683571649951159
2022-03-17,1.674502396172623
2022-03-18,1.6707779930283464
2022-03-21,1.6693197447628143
2022-03-22,1.6727398312669324
2022-03-23,1.6804466115600882
2022-03-24,1.689058618001127
2022-03-25,1.6965614906978308
2022-03-28,1.704526244995588
2022-03-29,1.7165058162871134
2022-03-30,1.7250266822115565
2022-03-31,1.7313957050916287
2022-04-01,1.7398625046079217
2022-04-04,1.7544110026638324
2022-04-05,1.7678040243398516
2022-04-06,1.7745530568314922
2022-04-07,1.7849060016149614
2022-04-08,1.7965812562663288
2022-04-11,1.8080804089025782
2022-04-12,1.817634715599946
2022-04-13,1.8258512648842304
2022-04-14,1.8294011107679085
2022-04-18,1.8302290991898633
2022-04-19,1.8317645851813236
2022-04-20,1.8305565871478005
2022-04-21,1.8276756199706639
2022-04-22,1.8183422131694518
2022-04-25,1.8093424733442516
2022-04-26,1.7950534940474607
2022-04-27,1.7780349335163537
2022-04-28,1.7672942553487225
2022-04-29,1.7544032788912398
2022-05-02,1.741975728789328
2022-05-03,1.7275647138855703
2022-05-04,1.7206936457869624
2022-05-05,1.709247014804344
2022-05-06,1.6981263270251443
2022-05-09,1.6845911879334166
2022-05-10,1.676220163197275
2022-05-11,1.660298378374354
2022-05-12,1.6392974406943681
2022-05-13,1.6256418107501922
2022-05-16,1.6109589190511655
2022-05-17,1.597321826161212
2022-05-18,1.5774053061532638
2022-05-19,1.5554620682169489
2022-05-20,1.5372200621071326
2022-05-23,1.5223517998658773
2022-05-24,1.5100123007715243
2022-05-25,1.4979693945447374
2022-05-26,1.4830347078591837
2022-05-27,1.4771121190349787
2022-05-31,1.4703460942436337
2022-06-01,1.4623241840286894
2022-06-02,1.4512359360943796
2022-06-03,1.442739786242234
2022-06-06,1.4342606286897925
2022-06-07,1.4317102389796301
2022-06-08,1.4267237713936798
2022-06-09,1.4237856482993558
2022-06-10,1.4196534299621757
2022-06-13,1.4080600473002933
2022-06-14,1.3983311833423273
2022-06-15,1.3878191288434447
2022-06-16,1.3796288403859764
2022-06-17,1.3752216557444905
2022-06-21,1.37391324866726
2022-06-22,1.368006107388241
2022-06-23,1.3664150102341117
2022-06-24,1.367283162273549
2022-06-27,1.3656688938016412
2022-06-28,1.3563818296359866
2022-06-29,1.3490674169905483
2022-06-30,1.3399410072948255
