Timestamp,price_close,price_volume,RSI,bbands_middle,reportedEPS,atr,volume_nasdaq,close_nasdaq,obv,CPI,GDP,SMA_50,weekday
9/20/2006,75.26,29385400,71.6571,2.1332,0.020084085,0.058,2749300,31.09,50327320317,202.1415508,14018.33783,1.9879,Wednesday
9/21/2006,74.65,28361600,68.0404,2.1443,0.020087843,0.0583,1909200,30.8,49533194723,202.1150112,14020.27618,2.0009,Thursday
9/22/2006,73,23754000,59.3189,2.1521,0.020091264,0.0585,1609900,31.27,48868082058,202.0893563,14022.21315,2.0134,Friday
9/25/2006,75.75,30678300,66.9278,2.1626,0.020099322,0.0605,1825500,30.66,49727075316,202.0178046,14028.01436,2.0285,Monday
9/26/2006,77.61,39391000,70.8932,2.1786,0.020101209,0.0606,1738700,31.33,50830024418,201.9957932,14029.94437,2.0437,Tuesday
9/27/2006,76.41,28941900,65.4415,2.1936,0.020102665,0.0601,1927300,30.72,50019650408,201.9747188,14031.87229,2.0578,Wednesday
9/28/2006,77.01,25843200,66.8156,2.2087,0.020103671,0.0591,1481100,30.52,50743260731,201.9545918,14033.79795,2.0716,Thursday
9/29/2006,76.98,14493300,66.6728,2.2224,0.020104207,0.0567,1926900,30.24,50337447926,201.9354227,14035.72123,2.0815,Friday
10/2/2006,74.86,25451400,57.3487,2.2322,0.020102813,0.0584,2294900,29.31,49624808014,201.8837704,14041.47525,2.09,Monday
10/3/2006,74.07,28239600,54.3012,2.2361,0.020101283,0.058,1804100,29.5,48834098424,201.8685589,14043.38776,2.0977,Tuesday
10/4/2006,75.38,29610100,58.262,2.2441,0.020099189,0.0588,2552500,30.75,49663182053,201.8543943,14045.29761,2.1058,Wednesday
10/5/2006,74.83,24424400,56.0649,2.2472,0.020096513,0.059,3233900,31.73,48979298170,201.8413055,14047.20491,2.1123,Thursday
10/6/2006,74.22,16677100,53.6485,2.2497,0.020093233,0.0574,2012500,31.81,48512338904,201.8293215,14049.10973,2.1189,Friday
10/9/2006,74.63,15650800,55.0508,2.2529,0.020079593,0.0566,1882700,32.5,48950561742,201.8002858,14054.81029,2.1243,Monday
10/10/2006,73.81,18985300,51.6831,2.2547,0.020073716,0.0559,1969900,30.775,48418972811,201.7930089,14056.70613,2.1278,Tuesday
10/11/2006,73.23,20423400,49.382,2.2532,0.020067141,0.05845,2394600,33.21,47847117040,201.786981,14058.59996,2.1315,Wednesday
10/12/2006,75.26,21173400,56.656,2.2549,0.02005985,0.0556,3739700,30.97,48439972832,201.7822309,14060.49186,2.1357,Thursday
10/13/2006,75.02,24435600,55.638,2.2563,0.020051824,0.0562,3497600,31.18,47755775348,201.7787874,14062.38192,2.139,Friday
10/16/2006,75.4,18167600,56.9567,2.2585,0.020023144,0.0546,1576100,34.56,48264468656,201.7765854,14068.042,2.1433,Monday
10/17/2006,74.29,17175900,52.086,2.2593,0.020011987,0.0536,2624100,35,47783542976,201.778657,14069.92562,2.1475,Tuesday
10/18/2006,74.53,40496700,53.0215,2.2582,0.02,0.0598,2164600,35,48917451709,201.7821796,14071.80785,2.1534,Wednesday
10/19/2006,78.99,54034900,66.22,2.2648,0.019987173,0.0582,4089400,36.21,50430430421,201.7871819,14073.68879,2.1627,Thursday
10/20/2006,79.95,22836200,68.2854,2.2752,0.019973534,0.0652,2547800,36.25,51069844660,201.7936928,14075.56853,2.1722,Friday
10/23/2006,81.37766857,29732400,71.2618,2.2838,0.019928113,0.0652,2691900,36.92,51902352692,201.822566,14081.20143,2.1829,Monday
10/24/2006,81.05,16543300,69.3584,2.289,0.019911595,0.0637,2376400,37.48,51439139829,201.8354,14083.07726,2.1932,Tuesday
10/25/2006,81.68,17329100,70.6554,2.2969,0.019894449,0.0613,1674300,36.99,51924355114,201.8498869,14084.95234,2.2024,Wednesday
10/26/2006,82.19,15455600,71.6997,2.3047,0.019876713,0.0601,2307000,37.3,52357112346,201.8660556,14086.82675,2.211,Thursday
10/27/2006,80.41,21248800,63.2404,2.3099,0.019858424,0.061,1564700,36.72,51762145352,201.8839348,14088.7006,2.2187,Friday
10/30/2006,80.42,17854200,63.2667,2.3182,0.019800607,0.0597,1941100,36.24,52262063451,201.9481247,14094.31963,2.2262,Monday
10/31/2006,81.08,17909800,65.0391,2.3288,0.019780474,0.0585,1967900,35.73,52763538352,201.9731349,14096.1921,2.2349,Tuesday
11/1/2006,79.16,21828300,56.4983,2.3345,0.019759974,0.0608,1987900,35.31,52152345341,202,14098.06446,2.2419,Wednesday
11/2/2006,78.98,16624400,55.7591,2.3407,0.019739141,0.0583,2216700,35.55,51686861676,202.0287225,14099.93679,2.2489,Thursday
11/3/2006,78.29,15424600,52.9015,2.3468,0.019718015,0.0578,1799700,35.86,51254972445,202.0591994,14101.80918,2.2552,Friday
11/6/2006,79.71,15520600,57.7053,2.3545,0.019653238,0.0575,2352300,36.9,51689549679,202.159864,14107.42765,2.2618,Monday
11/7/2006,80.51,18783300,60.1701,2.3646,0.019631304,0.0562,1421700,36.36,52215482604,202.196066,14109.3012,2.27,Tuesday
11/8/2006,82.45,24675600,65.4311,2.3784,0.01960926,0.0582,932000,36.31,52906400094,202.233376,14111.17527,2.2796,Wednesday
11/9/2006,83.34,32966200,67.5488,2.3906,0.019587143,0.0595,1536200,36.01,53829454617,202.2716649,14113.04995,2.2894,Thursday
11/10/2006,83.12,13352300,66.4649,2.4028,0.019564992,0.0577,2076250,37.79,53455589844,202.3108032,14114.92533,2.2986,Friday
11/13/2006,84.35,16095500,69.4194,2.4162,0.019498693,0.0574,1657000,37.59,53906264294,202.4320226,14120.55654,2.3082,Monday
11/14/2006,85,21034100,70.8795,2.4323,0.019476769,0.0557,2076250,36.335,54495219682,202.4732663,14122.43561,2.3164,Tuesday
11/15/2006,84.05,23404400,65.9252,2.4467,0.019454994,0.0558,2102300,37.5,53839895827,202.5147131,14124.31582,2.3248,Wednesday
11/16/2006,85.61,24783600,69.6738,2.4566,0.019433406,0.0566,2102300,36.48,54533837320,202.5562338,14126.19728,2.3325,Thursday
11/17/2006,85.85,16658000,70.2166,2.4655,0.019412041,0.0546,4060900,36.57,55000261786,202.597699,14128.08007,2.3405,Friday
11/20/2006,86.47,20385500,71.6294,2.473,0.019349657,0.0546,3080200,37.71,55571056356,202.7204696,14133.73734,2.3489,Monday
11/21/2006,88.6,22238100,75.8652,2.4844,0.019329555,0.0553,4863400,38.32,56193723778,202.7604204,14135.62636,2.3586,Tuesday
11/22/2006,90.31,23997900,78.6244,2.4974,0.019309862,0.0576,6401200,36.645,56865665649,202.7996695,14137.51716,2.3682,Wednesday
11/23/2006,90.31,23997900,78.6244,2.4974,0.019290615,0.0576,6401200,36.645,56865665649,202.8380875,14139.40984,2.3682,Thursday
11/24/2006,91.63,18524200,80.4796,2.5116,0.019271849,0.0611,1551700,36.645,57384343767,202.8755452,14141.30448,2.3788,Friday
11/27/2006,89.54,38387000,70.1049,2.5253,0.019218817,0.05765,5012500,40,56309506693,202.9808633,14147.0011,2.388,Monday
11/28/2006,91.81,37006200,74.0219,2.5425,0.019202351,0.05765,4210600,39.9,57345681329,203.0131869,14148.9045,2.3988,Tuesday
11/29/2006,91.8,41324400,73.9759,2.5586,0.019186551,0.05765,3964700,39.39,56188596972,203.0439037,14150.81033,2.4097,Wednesday
11/30/2006,91.66,31088800,73.2895,2.5774,0.019171457,0.0655,3146400,40.15,55318109702,203.0728845,14152.71866,2.4196,Thursday
12/1/2006,91.32,28395700,71.553,2.596,0.019157103,0.0656,3834750,37.32,54523029307,203.1,14154.62959,2.4296,Friday
12/4/2006,91.12,25340600,70.4949,2.6153,0.019118859,0.0643,3033900,38,53813491798,203.1698835,14160.37887,2.4405,Monday
12/5/2006,91.27,23672800,70.8431,2.6327,0.01910784,0.0628,3015100,38.23,54476330860,203.1896448,14162.3011,2.4498,Tuesday
12/6/2006,89.83,22792300,63.1387,2.6467,0.019097747,0.062,2193800,37.91,53838145822,203.2078023,14164.22637,2.4572,Wednesday
12/7/2006,87.04,35886700,51.4612,2.6536,0.019088618,0.0653,2888300,36.45,52833317218,203.2244537,14166.15479,2.4636,Thursday
12/8/2006,88.26,28009900,55.35,2.661,0.019080488,0.0658,2276800,36.7,53617595202,203.2396967,14168.08644,2.4703,Friday
12/11/2006,88.75,17849300,56.8454,2.6695,0.01906247,0.0638,1759400,36.3,54117376101,203.2779522,14173.9017,2.4774,Monday
12/12/2006,86.14,36665000,47.6841,2.6722,0.019058711,0.0664,2440000,35.75,53090755075,203.2885384,14175.84718,2.4842,Tuesday
12/13/2006,89.05,30609000,56.1663,2.6783,0.019056136,0.0679,1744800,35.92,53947807932,203.2982047,14177.79635,2.4932,Wednesday
12/14/2006,88.55,29726100,54.5303,2.685,0.019054784,0.0668,2360100,35.3,53115476300,203.3070487,14179.74929,2.5012,Thursday
12/15/2006,87.72,26426400,51.8315,2.6882,0.019054691,0.0661,1792800,35.55,52375536361,203.3151682,14181.7061,2.5089,Friday
12/18/2006,85.47,25770600,45.2879,2.6876,0.019062336,0.0687,1925400,35.99,51653958840,203.336156,14187.60063,2.5157,Monday
12/19/2006,86.31,32550200,47.9308,2.6874,0.019067648,0.0704,5502900,34.05,52565365351,203.342354,14189.5738,2.5227,Tuesday
12/20/2006,84.76,20274700,43.7328,2.6816,0.019074405,0.0695,2078100,34.15,51997673184,203.3483159,14191.5513,2.5293,Wednesday
12/21/2006,82.9,32271400,39.2861,2.6705,0.019082643,0.0657,2499700,32.9,51094073081,203.3541394,14193.5332,2.5351,Thursday
12/22/2006,82.2,21903700,37.7312,2.6563,0.019092398,0.0717,4203800,31.81,50480768868,203.3599221,14195.51961,2.5393,Friday
12/25/2006,82.2,21903700,37.7312,2.6563,0.019131142,0.0717,4203800,31.81,50480768868,203.3780027,14201.50671,2.5393,Monday
12/26/2006,81.51,17524600,36.2099,2.6442,0.019147339,0.0702,2838800,31.04,49990079578,203.3845993,14203.51202,2.5432,Tuesday
12/27/2006,81.52,58783316.93,36.25,2.6287,0.019165239,0.0666,2302600,31.1,51925836313,203.3916436,14205.52227,2.5469,Wednesday
12/28/2006,80.87,39995600,34.7214,2.6123,0.019184879,0.075,2001300,31.3,50805958394,203.3992334,14207.53757,2.5509,Thursday
12/29/2006,84.84,38443900,48.8955,2.602,0.019206296,0.06735,1762200,30.79,51882388670,203.4074662,14209.558,2.5571,Friday
1/1/2007,84.84,38443900,48.8955,2.602,0.019281576,0.06735,1762200,30.79,51882388670,203.437,14215.651,2.5571,Monday
1/2/2007,84.84,38443900,48.8955,2.602,0.01931047,0.06735,1762200,30.79,51882388670,203.4487639,14217.69283,2.5571,Tuesday
1/3/2007,83.8,44225700,46.0732,2.5907,0.019341326,0.0683,2331350,31.01,50644067832,203.4615502,14219.73999,2.56,Wednesday
1/4/2007,85.66,30259300,51.4685,2.5825,0.01937418,0.0691,3280300,31.89,51491329079,203.4753476,14221.79233,2.5634,Thursday
1/5/2007,85.05,29812200,49.7119,2.5731,0.01940907,0.0804,3716400,33.1,50656586645,203.4901448,14223.84968,2.5656,Friday
1/8/2007,85.47,28468100,50.9531,2.5666,0.019526324,0.0778,3666100,34.04,51453694242,203.5404208,14230.05026,2.5682,Monday
1/9/2007,92.57,91228612.31,66.1592,2.5749,0.019569727,0.0891,3177200,33.83,54802995991,203.5591031,14232.12609,2.5748,Tuesday
1/10/2007,97,105460000,71.9936,2.588,0.019615351,0.094,3732400,35.28,51904112492,203.5787282,14234.20615,2.5837,Wednesday
1/11/2007,95.8,51437600,68.5462,2.5986,0.019663232,0.0913,2446600,34.62,51904112492,203.5992849,14236.29026,2.5929,Thursday
1/12/2007,94.62,46881800,65.238,2.6114,0.019713407,0.0903,2179400,34.29,55002932991,203.6207616,14238.37828,2.6015,Friday
1/15/2007,94.62,46881800,65.238,2.6114,0.019878072,0.0903,2179400,34.29,55002932991,203.6905986,14244.66416,2.6015,Monday
1/16/2007,97.1,44431300,68.6613,2.6235,0.019937796,0.0895,2243400,34.73,56247010635,203.7156419,14246.7662,2.6111,Tuesday
1/17/2007,94.95,58795000,62.88,2.6331,0.02,0.0891,2131900,35.45,54600748989,203.7415485,14248.87135,2.6206,Wednesday
1/18/2007,89.07,84450200,50.385,2.6352,0.020064705,0.0954,2494800,34.34,52236141025,203.768307,14250.97944,2.6267,Thursday
1/19/2007,88.5,48731200,49.361,2.6397,0.020131874,0.0919,1464100,34.57,50871666061,203.7959059,14253.09032,2.6328,Friday
1/22/2007,86.79,51929500,46.3197,2.6404,0.020347633,0.0929,1493300,33.92,49417638607,203.8836318,14259.4381,2.6371,Monday
1/23/2007,85.7,43122300,44.4401,2.6419,0.020424127,0.0905,2738000,33.51,48210213000,203.9144789,14261.55855,2.6402,Tuesday
1/24/2007,86.7,33136200,46.5818,2.6476,0.02050282,0.0872,2222400,34.09,49138027527,203.9461096,14263.68098,2.6428,Wednesday
1/25/2007,86.25,32356200,45.7276,2.6537,0.020583659,0.0863,1365400,34.07,48232053022,203.9785125,14265.80525,2.6445,Thursday
1/26/2007,85.38,35245500,44.0459,2.6595,0.020666591,0.0852,2229300,34.12,47245178036,204.0116763,14267.93119,2.6459,Friday
